-0.11128,-0.11353,-0.098386,-0.13969,-0.31418,-0.23086,-0.38434,-0.015068,0.045983,0.024778,-0.035907,-0.13429,-0.22283,-0.20115,-0.001647,0.19113,0.22644,0.10127,-0.01671,-0.0056228,0.05626,0.09534,0.11427,0.071524,0.060818,0.10756,0.10973,-0.14534,-0.11296,0.05232,-0.14963
-0.10902,-0.13094,-0.11938,0.10047,0.041297,-0.073602,-0.095794,0.041036,-0.10113,-0.19382,-0.17698,-0.070989,-0.12723,-0.19858,-0.13898,0.032033,0.052431,-0.13062,-0.25615,-0.16735,-0.0047751,0.064498,0.079789,-0.047044,-0.15449,-0.095147,-0.18483,-0.56769,-0.23754,0.075749,-0.38588
-0.084839,-0.10628,-0.075382,0.042684,0.1624,0.094226,0.069436,0.01049,-0.20059,-0.30521,-0.21472,-0.0712,-0.069468,-0.10036,-0.083726,-0.053066,-0.079673,-0.16579,-0.20452,-0.1037,0.034884,0.091122,-0.041295,-0.26103,-0.44543,-0.48042,-0.42323,-0.33604,-0.11323,-0.030906,-0.38285
-0.039218,-0.062192,-0.070548,-0.01371,0.12909,0.17037,0.17849,0.091642,-0.073668,-0.15865,-0.15206,-0.14023,-0.12483,-0.034056,0.037741,0.033884,0.016506,0.0061953,0.00093761,0.035265,0.098623,0.081186,-0.10664,-0.3049,-0.33763,-0.23238,-0.11983,0.057384,0.39286,0.46623,-0.067639
0.029377,-0.0042724,-0.16115,-0.10294,0.045419,0.21907,0.27859,0.21326,0.12079,0.067603,-0.02641,-0.13832,-0.16204,-0.081603,-0.041612,-0.047561,-0.010968,0.03358,0.020964,0.011679,0.036022,0.047013,-0.076826,-0.19254,-0.06568,0.20933,0.35159,0.31535,0.27039,0.035547,-0.48808
0.13162,0.081918,-0.14735,-0.10574,0.090425,0.30309,0.29684,0.17124,0.12007,0.1202,0.037665,-0.10194,-0.18846,-0.23114,-0.29195,-0.314,-0.24034,-0.16478,-0.17283,-0.18985,-0.12834,-0.045695,-0.059443,-0.10551,0.020581,0.30434,0.49372,0.42426,0.21128,-0.038417,-0.34596
0.28357,0.20037,-0.11657,-0.091031,0.16954,0.32397,0.1754,-0.020449,-0.04509,0.0085272,0.00056155,-0.077118,-0.16244,-0.27205,-0.394,-0.43798,-0.35997,-0.28503,-0.29789,-0.30999,-0.21982,-0.10738,-0.077339,-0.11299,-0.071357,0.07484,0.2247,0.2357,0.12136,0.067267,0.070238
0.40401,0.30424,-0.080198,-0.090186,0.12085,0.19053,-0.002607,-0.1975,-0.19166,-0.10948,-0.059731,-0.061932,-0.085774,-0.15452,-0.24602,-0.27894,-0.2292,-0.19292,-0.22097,-0.22955,-0.14745,-0.051519,-0.032907,-0.063786,-0.085591,-0.056127,0.020105,0.096607,0.11373,0.10182,0.14068
0.47071,0.34717,-0.073782,-0.23989,-0.1122,-0.036012,-0.11296,-0.20585,-0.17558,-0.10723,-0.0598,-0.024848,0.014144,0.025223,-0.010435,-0.020327,-0.003439,-0.0012025,-0.040305,-0.037556,0.034178,0.10619,0.11076,0.090775,0.077793,0.089067,0.11355,0.14979,0.1638,0.075127,-0.02882
0.49138,0.33797,-0.13098,-0.35844,-0.25632,-0.11879,-0.087329,-0.092957,-0.061936,-0.018568,-0.015703,-0.0076827,0.030698,0.063458,0.085246,0.10034,0.11731,0.095729,0.052307,0.059363,0.13404,0.21415,0.22639,0.23117,0.25611,0.30842,0.30337,0.21609,0.069988,-0.15631,-0.3949
